"","Dataset","Journal","Publication.year","GitHub","BioBucket","GitLab","GNU.Make","Docker","Singularity","VM.Virtual.Box","Preprint","Overleaf","TeXstudio","Rstudio","Dryad","FigShare","Zenodo","OSF","Raw.data.availability","How.is.data.available.","Code"
"91","Scielo_Ecologia.csv","Caldasia",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"92","Scielo_Filogen.csv","Colombia Médica",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"93","Scielo_Ecologia.csv","Caldasia",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"94","Scielo_Ecologia.csv","Acta Biológica Colombiana",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"95","Scielo_Filogen.csv","Acta Biológica Colombiana",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"96","Scielo_Ecologia.csv","Actualidades Biológicas",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"97","Scielo_Filogen.csv","Biomédica",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"98","Scielo_Ecologia.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Supplement","No"
"99","Scielo_Ecologia.csv","Colombia Forestal",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"100","Scielo_Ecologia.csv","Biomédica",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"101","Scielo_Filogen.csv","Acta Biológica Colombiana",2022,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Sequences are in a table","No"
"102","Scielo_Ecologia.csv","Caldasia",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"103","Scielo_Ecologia.csv","Boletín de Investigaciones Marinas y Costeras - INVEMAR",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"104","Scielo_Filogen.csv","Acta Biológica Colombiana",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"105","Scielo_Filogen.csv","Acta Biológica Colombiana",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"106","Scielo_Ecologia.csv","Acta Biológica Colombiana",2022,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"107","Scielo_Filogen.csv","Acta Biológica Colombiana",2022,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"108","Scielo_Filogen.csv","Biomédica",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"109","Scielo_Filogen.csv","Acta Agronómica",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"110","Scielo_Filogen.csv","Boletín de Investigaciones Marinas y Costeras - INVEMAR",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"111","Scielo_Ecologia.csv","Biota colombiana",2022,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"112","Scielo_Filogen.csv","Revista de Ciencias",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"113","Scielo_Ecologia.csv","Caldasia",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"114","Scielo_Ecologia.csv","Biomédica",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"115","Scielo_Ecologia.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"116","Scielo_Filogen.csv","Biotecnología en el Sector Agropecuario y Agroindustrial",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"117","Scielo_Filogen.csv","Tropical Grasslands-Forrajes Tropicales",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"118","Scielo_Filogen.csv","Revista de Salud Pública",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"119","Scielo_Ecologia.csv","Caldasia",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"120","Scielo_Filogen.csv","Agronomía Colombiana",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"121","Scielo_Ecologia.csv","Acta Biológica Colombiana",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text (Figure of a Table)","No"
"122","Scielo_Ecologia.csv","Acta Biológica Colombiana",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"123","Scielo_Ecologia.csv","Actualidades Biológicas",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"124","Scielo_Ecologia.csv","Acta Biológica Colombiana",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"125","Scielo_Ecologia.csv","Revista Colombiana de Entomología",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"126","Scielo_Filogen.csv","DYNA",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"127","Scielo_Ecologia.csv","Universitas Scientiarum",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"128","Scielo_Filogen.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"129","Scielo_Ecologia.csv","Revista MVZ Córdoba",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"130","Scielo_Ecologia.csv","Actualidades Biológicas",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"131","Scielo_Ecologia.csv","Acta Biológica Colombiana",2015,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"132","Scielo_Ecologia.csv","Caldasia",2022,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"133","Scielo_Filogen.csv","Revista de Medicina Veterinaria",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"134","Scielo_Ecologia.csv","Revista U.D.C.A Actualidad &amp; Divulgación Científica",2020,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"135","Scielo_Filogen.csv","Universitas Scientiarum",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"136","Scielo_Filogen.csv","Revista U.D.C.A Actualidad &amp; Divulgación Científica",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"137","Scielo_Filogen.csv","Revista Colombiana de Entomología",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Supplement","No"
"138","Scielo_Ecologia.csv","Iteckne",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"139","Scielo_Ecologia.csv","Caldasia",2021,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"140","Scielo_Ecologia.csv","Caldasia",2019,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","In text","No"
"141","Scielo_Ecologia.csv","Boletín Científico. Centro de Museos. Museo de Historia Natural",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"142","Scielo_Ecologia.csv","Boletín Científico. Centro de Museos. Museo de Historia Natural",2017,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"143","Scielo_Filogen.csv","Revista U.D.C.A Actualidad &amp; Divulgación Científica",2018,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
"144","Scielo_Filogen.csv","Biotecnología en el Sector Agropecuario y Agroindustrial",2022,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"145","Scielo_Filogen.csv","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","TreeBase","No"
"146","Scielo_Filogen.csv","Revista MVZ Córdoba",2016,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","GenBank","No"
